ten_gpa,twelth_gpa,colz_gpa,nimcet_marks,psqt_gpa,me_gpa,co_gpa,pscp_gpa,pscp_lab_gpa,foss_lab_gpa,sgpa1,afm_gpa,ds_gpa,ss_gpa,oops_gpa,aad_gpa,ds_lab_gpa,ss_lab_gpa,oops_lab_gpa,sgpa2,cgpa2,os_gpa,dbms_gpa,wt_gpa,ospm_gpa,ads_gpa,os_lab_gpa,dbms_lab_gpa,wt_lab_gpa,sgpa3,cgpa3,pdwdm_gpa,ccn_gpa,se_gpa,ooad_gpa,dos_gpa,ke_lab_gpa,ccn_lab_gpa,set_lab_gpa,sgpa4,cgpa4,nps_gpa,uc_gpa,cc_gpa,dpsa_gpa,stt_gpa,seminar_viva_gpa,nps_lab_gpa,stt_lab_gpa,sgpa5,cgpa5,project_gpa,cgpa_final
5.42,7.54,7.04,416.37,7,8,6,5,7,7,6.57,6,6,6,5,7,8,5,7,6.25,6.41,5,6,10,8,6,5,6,9,6.88,6.57,6,8,8,8,5,5,9,9,7.25,6.74,8,7,7,8,7,6,7,8,7.25,6.84,6,6.7
6.74,7.96,7.5,399.43,8,6,5,8,7,7,6.86,8,5,7,10,7,5,5,10,7.12,6.99,7,8,8,5,5,6,9,7,6.88,6.95,8,6,6,6,6,8,5,7,6.5,6.84,6,6,6,7,5,8,7,5,6.25,6.72,6,6.6
5.99,5.29,6.2,581.12,6,7,8,6,7,6,6.57,7,6,8,5,5,7,10,5,6.62,6.6,7,10,9,8,7,8,10,8,8.38,7.19,10,6,7,6,6,9,7,6,7.12,7.17,7,7,8,5,6,7,6,7,6.62,7.06,6,6.89
6.63,6.7,7.19,415.75,6,7,5,6,5,6,6.14,6,5,8,6,10,5,9,6,6.88,6.51,5,5,5,9,5,6,6,5,5.75,6.26,5,8,7,8,6,6,9,6,6.88,6.41,9,8,6,9,7,6,9,7,7.62,6.65,7,6.71
6.32,6.26,5.6,468.8,8,8,8,7,6,7,7.14,9,8,9,7,7,9,9,7,8.12,7.63,7,7,10,10,7,8,8,10,8.38,7.88,6,7,6,8,6,5,7,5,6.25,7.47,7,6,5,7,6,6,7,7,6.38,7.25,6,7.05
6.3,5.25,7.62,617.1,8,7,8,6,7,7,7.14,8,6,6,6,9,6,6,5,6.5,6.82,8,6,9,9,5,7,7,9,7.5,7.05,5,6,8,7,7,5,5,8,6.38,6.88,6,8,7,8,7,7,7,8,7.25,6.95,6,6.8
6.08,7.05,7.8,615.35,7,7,6,7,8,9,7.43,9,6,8,8,10,8,9,10,8.5,7.96,7,7,5,6,5,7,7,5,6.12,7.35,8,5,8,7,6,8,6,9,7.12,7.29,6,6,8,8,9,7,7,8,7.38,7.31,8,7.42
8.05,9.55,9.41,710.35,9,8,7,8,10,8,8.43,10,10,7,8,10,10,5,9,8.62,8.52,7,6,10,8,10,8,5,10,8.0,8.35,7,9,10,8,8,7,9,10,8.5,8.39,10,10,9,7,9,8,9,8,8.75,8.46,10,8.72
8.25,9.92,8.8,785.48,9,10,9,10,10,9,9.29,10,8,9,10,7,7,10,10,8.88,9.08,7,10,8,9,7,5,10,8,8.0,8.72,10,8,8,8,8,9,7,9,8.38,8.64,9,8,8,9,9,8,9,9,8.62,8.63,8,8.53
9.2,9.64,9.35,930.85,10,10,9,10,10,10,9.71,9,10,10,10,9,9,9,9,9.38,9.55,9,7,9,10,10,9,6,9,8.62,9.24,7,10,9,9,10,6,9,10,8.75,9.12,10,8,8,10,8,8,8,7,8.38,8.97,9,8.97
8.03,7.8,5.61,506.54,6,7,5,5,7,7,6.43,8,8,7,6,7,9,9,8,7.75,7.09,7,7,8,6,8,8,6,8,7.25,7.14,7,8,7,5,6,8,7,8,7.0,7.11,7,8,8,5,6,8,6,7,6.88,7.06,7,7.05
6.93,7.19,7.94,406.25,7,7,6,8,8,7,7.14,6,7,9,8,6,8,8,9,7.62,7.38,5,8,5,6,7,5,8,5,6.12,6.96,8,6,8,7,5,7,5,6,6.5,6.85,6,8,8,8,8,6,6,6,7.0,6.88,9,7.23
