ten_gpa,twelth_gpa,colz_gpa,nimcet_marks,psqt_gpa,me_gpa,co_gpa,pscp_gpa,pscp_lab_gpa,foss_lab_gpa,sgpa1,afm_gpa,ds_gpa,ss_gpa,oops_gpa,aad_gpa,ds_lab_gpa,ss_lab_gpa,oops_lab_gpa,sgpa2,cgpa2,os_gpa,dbms_gpa,wt_gpa,ospm_gpa,ads_gpa,os_lab_gpa,dbms_lab_gpa,wt_lab_gpa,sgpa3,cgpa3,pdwdm_gpa,ccn_gpa,se_gpa,ooad_gpa,dos_gpa,ke_lab_gpa,ccn_lab_gpa,set_lab_gpa,sgpa4,cgpa4,nps_gpa,uc_gpa,cc_gpa,dpsa_gpa,stt_gpa,seminar_viva_gpa,nps_lab_gpa,stt_lab_gpa,sgpa5,cgpa5,project_gpa,cgpa_final
5.71,7.59,5.03,479.32,8,8,7,7,8,7,7.57,6,7,7,6,10,7,6,5,6.75,7.16,9,10,9,10,6,8,10,10,9.0,7.77,9,6,7,6,9,8,7,6,7.25,7.64,6,6,8,6,7,7,6,7,6.62,7.44,8,7.53
7.96,7.92,5.65,636.14,8,7,8,5,6,6,6.71,6,7,6,5,9,8,8,6,6.88,6.8,8,8,10,8,8,6,8,9,8.12,7.24,9,8,8,6,9,8,9,7,8.0,7.43,9,5,5,7,8,8,8,8,7.25,7.39,8,7.49
7.89,7.2,5.03,601.34,5,8,5,7,8,8,6.71,5,5,5,7,5,6,6,6,5.62,6.17,5,5,5,7,5,5,5,6,5.38,5.9,6,5,5,5,5,7,5,5,5.38,5.77,6,7,5,5,5,5,5,5,5.38,5.69,5,5.58
5.51,6.53,6.7,439.11,6,8,7,8,9,7,7.14,9,9,9,8,7,8,10,10,8.75,7.95,7,8,9,8,9,7,7,9,8.0,7.96,7,7,7,7,7,7,6,7,6.88,7.69,7,6,6,7,8,6,5,7,6.5,7.45,9,7.71
7.61,7.18,6.03,599.19,5,6,7,5,6,6,5.86,7,5,5,7,7,6,6,8,6.38,6.12,9,5,9,8,6,9,6,9,7.62,6.62,5,6,8,7,9,6,7,8,7.0,6.71,7,6,8,7,8,8,6,9,7.38,6.85,9,7.21
7.64,7.43,5.46,505.06,5,6,5,5,5,7,5.86,8,8,5,6,7,9,6,8,7.12,6.49,5,6,8,6,7,5,5,6,6.0,6.33,5,8,6,7,5,6,8,5,6.25,6.31,9,8,6,8,6,6,8,5,7.0,6.45,7,6.54
6.83,5.03,5.04,626.46,5,8,5,8,7,8,7.0,7,6,8,10,10,8,10,8,8.38,7.69,5,8,6,9,7,5,7,7,6.75,7.38,8,8,8,7,5,9,7,9,7.62,7.44,9,6,8,5,8,6,8,7,7.12,7.37,8,7.48
8.68,7.77,6.09,512.98,6,8,8,5,7,7,7.0,6,8,5,7,8,7,7,8,7.0,7.0,8,8,6,8,8,7,7,6,7.25,7.08,9,6,8,6,7,8,6,9,7.38,7.16,7,8,7,6,8,6,6,8,7.0,7.13,8,7.27
8.3,8.76,8.92,738.32,5,8,6,7,7,8,6.57,5,5,8,6,7,7,8,8,6.75,6.66,7,8,7,8,5,6,8,7,7.0,6.77,8,7,8,7,7,8,7,9,7.62,6.99,7,8,7,7,9,7,6,8,7.38,7.06,10,7.55
9.19,7.73,7.13,535.63,6,7,6,6,6,7,6.71,5,7,5,6,10,8,6,6,6.62,6.67,5,6,8,7,7,5,6,7,6.38,6.57,7,7,7,7,6,5,6,6,6.38,6.52,6,8,6,8,7,8,5,6,6.75,6.57,8,6.81
